附件ID,头附件ID,类型,文件描述,上传用户名,上传时间,文件类型,文件内容,文件块序号,自动字段列表,表内关联附件ID列表,文件TXT
330366,-1,1,00000079_批价审批单[临港新城主城区WSW-C2-02地块小学核定内容电缆批价(技术核定单)，批价单位：上海起帆电缆股份有限公司、无锡江南电缆有限公司、上海朗达电缆(集团)有限公司],管理员,2024-06-25 11:37:25,00000079_批价审批单[临港新城主城区WSW-C2-02地块小学核定内容电缆批价(技术核定单)，批价单位：上海起帆电缆股份有限公司、无锡江南电缆有限公司、上海朗达电缆(集团)有限公司].pdf,NULL,1,,,
330365,-1,1,00000078_临港新城主城区WSW-C2-02地块小学项目灯具增减帐,管理员,2024-06-25 11:35:58,00000078_临港新城主城区WSW-C2-02地块小学项目灯具增减帐.pdf,NULL,1,,,
330364,-1,1,00000077_报价单[临港新城主城区WSW-C2-02地块小学LED筒灯、平板灯、LEDD灯带、紫外线日光灯],管理员,2024-06-25 11:35:43,00000077_报价单[临港新城主城区WSW-C2-02地块小学LED筒灯、平板灯、LEDD灯带、紫外线日光灯].pdf,NULL,1,,,
330349,-1,1,00000076_关于临港新城主城区WSW-C2-02地块小学项目灯具批价审核意见,管理员,2024-06-25 11:27:49,00000076_关于临港新城主城区WSW-C2-02地块小学项目灯具批价审核意见.pdf,NULL,1,,,
330348,-1,1,00000102_关于临港新城主城区WSW-C2-02地块小学项目新增配电箱批价审核意见,管理员,2024-06-25 11:25:28,00000102_关于临港新城主城区WSW-C2-02地块小学项目新增配电箱批价审核意见.pdf,NULL,1,,,
330347,-1,1,00000101_技术核定单[临港新城主城区WSW-C2-02地块小学核定内容：蓝图4号_5号楼(J2_J3_J8)进线电缆为三相四线制，按施工规范户内电缆改为三相五线制],管理员,2024-06-25 11:25:23,00000101_技术核定单[临港新城主城区WSW-C2-02地块小学核定内容：蓝图4号_5号楼(J2_J3_J8)进线电缆为三相四线制，按施工规范户内电缆改为三相五线制].pdf,NULL,1,,,
330346,-1,1,00000100_厨房电气平面图[临港新城主城区WSW-C2-02地块小学强电专业教学楼(白图)],管理员,2024-06-25 11:25:18,00000100_厨房电气平面图[临港新城主城区WSW-C2-02地块小学强电专业教学楼(白图)].pdf,NULL,1,,,
330345,-1,1,00000099_营业执照(副本)复印件[扬中市恒泰电器有限公司],管理员,2024-06-25 11:25:13,00000099_营业执照(副本)复印件[扬中市恒泰电器有限公司].pdf,NULL,1,,,
330344,-1,1,00000098_营业执照(副本)复印件[上海航仟机电设备有限公司],管理员,2024-06-25 11:25:09,00000098_营业执照(副本)复印件[上海航仟机电设备有限公司].pdf,NULL,1,,,
330343,-1,1,00000097_营业执照(副本)复印件[上海洲德电气成套有限公司],管理员,2024-06-25 11:25:04,00000097_营业执照(副本)复印件[上海洲德电气成套有限公司].pdf,NULL,1,,,
330342,-1,1,00000096_报价书[临港新城主城区WSW-C2-02地块小学项目配电箱],管理员,2024-06-25 11:25:00,00000096_报价书[临港新城主城区WSW-C2-02地块小学项目配电箱].pdf,NULL,1,,,
330341,-1,1,00000095_配电箱批价汇总表、批价表[临港新城主城区WSW-C2-02地块小学项目],管理员,2024-06-25 11:24:55,00000095_配电箱批价汇总表、批价表[临港新城主城区WSW-C2-02地块小学项目].pdf,NULL,1,,,
330340,-1,1,00000094_批价单[临港新城主城区WSW-C2-02地块小学安装工程电气核定内容：配电箱元器件采用施耐德、人民电气、伊顿穆勒三家品牌，动力、照明配电箱，电饰-03、技术核定单(电气-01第1条)],管理员,2024-06-25 11:24:50,00000094_批价单[临港新城主城区WSW-C2-02地块小学安装工程电气核定内容：配电箱元器件采用施耐德、人民电气、伊顿穆勒三家品牌，动力、照明配电箱，电饰-03、技术核定单(电气-01第1条)].pdf,NULL,1,,,
